CMDLINE C:\Users\Muell\Anaconda3\envs\Py3.7-TF2.0\python.exe wasseruhr.py
MEM 0.480469 1576605143.6601
MEM 13.765625 1576605143.7668
MEM 22.437500 1576605143.8736
MEM 28.800781 1576605143.9793
MEM 35.246094 1576605144.0860
MEM 39.539062 1576605144.1927
MEM 39.542969 1576605144.2984
MEM 40.097656 1576605144.4053
MEM 48.050781 1576605144.5114
MEM 72.628906 1576605144.6191
MEM 76.707031 1576605144.7249
MEM 81.429688 1576605144.8316
MEM 92.207031 1576605144.9385
MEM 98.472656 1576605145.0462
MEM 103.386719 1576605145.1529
MEM 107.601562 1576605145.2667
MEM 109.757812 1576605145.3764
MEM 114.785156 1576605145.4843
MEM 121.359375 1576605145.5910
MEM 125.871094 1576605145.6971
MEM 133.398438 1576605145.8046
MEM 138.183594 1576605145.9113
MEM 144.558594 1576605146.0192
MEM 147.515625 1576605146.1269
MEM 148.660156 1576605146.2337
MEM 151.019531 1576605146.3415
MEM 151.675781 1576605146.4486
MEM 162.976562 1576605146.5623
MEM 166.195312 1576605146.6730
MEM 171.132812 1576605146.7817
MEM 172.226562 1576605146.8904
MEM 173.187500 1576605147.0003
MEM 174.296875 1576605147.1061
MEM 175.632812 1576605147.2128
MEM 178.441406 1576605147.3185
MEM 182.652344 1576605147.4252
MEM 187.855469 1576605147.5378
MEM 188.605469 1576605147.6485
MEM 191.257812 1576605147.7572
MEM 192.664062 1576605147.8649
MEM 195.796875 1576605147.9718
MEM 200.609375 1576605148.0772
MEM 200.609375 1576605148.1824
MEM 200.609375 1576605148.2875
MEM 200.609375 1576605148.3939
MEM 200.609375 1576605148.4991
MEM 200.609375 1576605148.6041
MEM 200.609375 1576605148.7101
MEM 200.609375 1576605148.8163
MEM 200.609375 1576605148.9237
MEM 200.609375 1576605149.0293
MEM 200.609375 1576605149.1346
MEM 200.609375 1576605149.2435
MEM 200.609375 1576605149.3487
MEM 200.609375 1576605149.4582
MEM 200.609375 1576605149.5644
MEM 200.609375 1576605149.6696
MEM 200.609375 1576605149.7760
MEM 200.609375 1576605149.8896
MEM 200.609375 1576605149.9960
MEM 200.609375 1576605150.1030
